EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TIMESTAMP
USA22494,15-February-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Arizona,Maricopa,,Phoenix,33.449,-112.074,1,MilitiaWatch; Fox10 (Phoenix); Arizona Central,Local partner-New media,"On 15 February 2020, an estimated 2500 people gathered outside the Capitol in Phoenix (Arizona) to advocate for gun rights and demand the protection of their Second Amendment rights after a series of gun control bills were introduced in the state's legislature. The crowd also held signs in support of President Trump. Members of TrainMeAZ and the Arizona Citizens Defense League Foundation were present at the event. Some demonstrators carrying guns attended.",0,armed; crowd size=an estimated 2500,1680633585
USA22846,21-February-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Boogaloo Boys,6,,,0,60,,840,North America,United States,Nebraska,Lancaster,,Lincoln,40.808,-96.7,1,MilitiaWatch; Times Herald,Local partner-New media,"On 21 February 2020, armed demonstrators gathered at the State Capitol Building in Lincoln (Nebraska). The demonstrators arrived to protest against two gun control bills, and a few arrived armed and entered the building with semi-automatic rifles. Among the protesters were Boogaloo adherents.",0,armed; crowd size=more than 400,1680633585
USA21371,02-March-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,,840,North America,United States,California,Los Angeles,,Los Angeles - Central,34.069,-118.312,1,Los Angeles Times,Subnational,"On 2 March 2020, about 30 demonstrators in Los Angeles - Central (California) gathered outside of the city's District Attorney's downtown residence to protest the official's refusal to meet with Black Lives Matter activists. The husband of the official responded to the event by pointing a gun at a demonstrator, who is a Black Lives Matter organizer, prompting the police to show up at the scene. No injuries or arrests were reported.",0,armed; armed presence; crowd size=about 30,1680633610
USA32032,14-March-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Three Percenters (III%),6,,,0,60,,840,North America,United States,New Hampshire,Merrimack,,Concord,43.208,-71.538,1,News2Share,New media,"On 14 March 2020, hundreds of armed pro-gun activists held a demonstration against gun control outside the New Hampshire State House in Concord (New Hampshire).",0,armed; crowd size=hundreds,1680633586
USA20418,09-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Labor Group (United States),6,,,0,60,,840,North America,United States,Ohio,Franklin,,Columbus,39.961,-82.999,1,WTOL11; Crowd Counting Consortium,Other-Subnational,"On 9 April 2020, about 75 people marched outside the Ohio Statehouse in Columbus (Ohio) in protest against the stay-at-home orders put in place by Mike DeWine and Dr. Amy Acton during the coronavirus pandemic. Almost no protesters wore masks or were socially distanced while at least one person came armed with guns. .",0,armed; crowd size=about 75,1680633585
USA20493,15-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Labor Group (United States); GOP: Republican Party; Government of the United States (2017-2021); Michigan Liberty Militia; Proud Boys,6,,,0,60,,840,North America,United States,Michigan,Ingham,,Lansing,42.734,-84.555,1,Michigan Advance; MilitiaWatch; Crowd Counting Consortium,Local partner-New media,"On 15 April 2020, hundreds of protesters held a demonstration organized by the Michigan Conservative Coalition and the Michigan Freedom Fund called 'Operation Gridlock' at the Capitol building in Lansing (Michigan) to protest the stay-at-home order put in place by Governor Whitmer citing economic and constitutional concerns, including demands to return to work amid the coronavirus pandemic. The group waved flags and honked their horns while driving past the Capitol, reportedly brought traffic to a crawl for miles. Some protesters carried guns with them. Also present was Republican House Speaker Lee Chatfield who also participated in the rally. Michigan Liberty Militia and Proud Boys showed up to protest.",0,armed; crowd size=hundreds,1680633585
USA20584,19-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Yellowstone Militia of Billings,6,,,0,60,,840,North America,United States,Montana,Gallatin,,Bozeman,45.68,-111.038,1,Bozeman Daily Chronicle; Missoulian; Billings Gazette,Subnational,"On 19 April 2020, several hundred people gathered in Bozeman (Montana) to protest against state-wide restrictive measures in place as part of the government's efforts to slow the spread of coronavirus. Many of the protesters also displayed pro-Trump signage and some attendees also identified as members of the Yellowstone Militia and were in possession of firearms.",0,armed; crowd size=several hundred,1680633585
USA20586,19-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),LP: Libertarian Party; Boogaloo Boys,6,,,0,60,,840,North America,United States,Georgia,Cherokee,,Canton,34.237,-84.491,1,MilitiaWatch; Atlanta Antifascists; Twitter,Local partner-New media,"On 19 April 2020, supporters of a Libertarian Party senate candidate and at least two armed individuals wearing attire affiliated with the Boogaloo movement rallied outside the Cherokee County Courthouse in Canton (Georgia) to protest against the state restrictions imposed during the coronavirus pandemic.",0,armed; crowd size=no report,1680633585
USA20608,19-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Proud Boys; Patriot Prayer; Three Percenters (III%); QAnon; Boogaloo Boys; Government of the United States (2017-2021); Oath Keepers; GOP: Republican Party,6,,,0,60,,840,North America,United States,Washington,Thurston,,Olympia,47.036,-122.905,1,88.5KNKX; American Independent; KOMO4; Twitter; MilitiaWatch; Seattle Times; Independent (United Kingdom); Crowd Counting Consortium,Local partner-New media,"On 19 April 2020, an estimated 2500 people gathered at the state Capitol in Olympia (Washington) to protest against a state-wide stay-home order, put in place by the state government, as part of its attempt to slow the spread of coronavirus. Members of armed militias including the Proud Boys and Oath Keepers were present and the leader of Patriot Prayer, Joey Gibson addressed the crowd. Conservative lawmakers Jim Walsh (R), Vicki Kraft (R), and Robert Sutherland (R) also spoke at the event. Unarmed III% militia members, QAnon supporters, Boogaloo Boys, and others waving pro-Trump flags also all joined the demonstrations.",0,armed; crowd size=estimated 2500,1680633592
USA20629,20-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unidentified Communal Militia (United States); QAnon; Boogaloo Boys,6,Protesters (United States),Health Workers (United States); SEIU: Service Employees International Union; Labor Group (United States),6,66,,840,North America,United States,Pennsylvania,Dauphin,,Harrisburg,40.273,-76.888,1,CNN; SEIU; WITF; York Daily Record; MilitiaWatch; York Dispatch; Fox29; Twitter,Local partner-New media,"On 20 April 2020, about 2,000 protesters rallied in cars and on foot around the state capitol in Harrisburg (Pennsylvania) to pressure for the reopening of the state's non-essential business, closed due to the measures adopted to contain the spread of the coronavirus. The demonstration was organized by ReOpen PA, End the Lockdown PA, and Pennsylvanians Against Excessive Quarantine and led by a gun rights activist. Among the demonstrators were QAnon supporters, unidentified communal militias, and Boogaloo Boys. A few of them were armed and one of the protesters was detained and released after the issuance of a citation for disorderly conduct. A small group of nurses counter protesting were present, with representatives of the Services Employees International Union (SEIU), urging people to stay-at-home.",0,"armed; counter-demonstration; crowd size=about 2,000",1680633585
USA20643,20-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,Protesters (United States),Health Workers (United States),6,66,,840,North America,United States,Arizona,Maricopa,,Phoenix,33.449,-112.074,1,Fox10 (Phoenix); Arizona Central; Independent (United Kingdom),Subnational-International,"On 20 April 2020, a few hundred people, some of whom were armed, organized a march at the state capitol building in Phoenix (Arizona) to protest against the state's coronavirus measures, demanding the lifting of restrictions. At the same time, a group of counter-protestors showed up at the scene, mainly consisting of nurses, in support of the said measures. According to reports, some of the nurses were verbally harassed and coughed on during the protest. No injuries were reported.",0,armed; counter-demonstration; crowd size=a few hundred,1680633585
USA20644,20-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),GOP: Republican Party; Iron City Citizen Response Unit; White Nationalists (United States),6,,,0,60,,840,North America,United States,Pennsylvania,Allegheny,,Pittsburgh,40.441,-79.996,1,KDKA2; Pittsburgh City Paper; MilitiaWatch; TribLive,Local partner-New media,"On 20 April 2020, about 120 protesters on foot and about a dozen cars demonstrated in downtown Pittsburgh (Pennsylvania) against the stay-at-home order and to push for the reopening of non-essential business in the state, closed due to the measures adopted to contain the spread of the coronavirus pandemic. Two Republican candidates for state congressional offices were active in the demonstration. About a dozen protesters were armed, with rifles and pistols, and identified themselves as members of the Iron City Citizens Response Unit militia group. They wore patches with the militia's insignia including a Valknot, a symbol tied to white nationalism and white supremacy. Police were present but did not interact with the demonstrators. The anti-quarantine demonstration was called 'Take Back Control'.",0,armed; crowd size=about 120,1680633666
USA20625,20-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unidentified Communal Militia (United States); Proud Boys; NSM: National Socialist Movement,6,,,0,60,,840,North America,United States,Ohio,Franklin,,Columbus,39.961,-82.999,1,Columbus Dispatch,Subnational,"On 20 April 2020, several hundred people gathered for 'Re-Open' rally in the Ohio Statehouse in Columbus (Ohio) to protest the state's anti-coronavirus stay-at-home order. Local militia groups and Proud Boys showed up in support. People carried signs reading 'All Jobs are Essential' and 'The Cure is Deadlier than the Disease.' Members of a local militia were armed. Two members of the National Socialist Movement, a neo-Nazi organization, carried signs depicting Jews as rats, calling Jews 'the real plague.'",0,armed; crowd size=several hundred,1680633666
USA20731,24-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Texas,Dallas,,Dallas,32.779,-96.8,1,NBC5 (Fort Worth-Dallas),Subnational,"On 24 April 2020, about a dozen or more people, many of whom were armed, gathered at the salon in Dallas (Texas) to support the owner's decision to reopen the business despite the coronavirus lockdown.",0,armed; crowd size=about a dozen,1680633586
USA20721,24-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,New Mexico,Bernalillo,,Albuquerque,35.084,-106.651,1,Daily Lobo; MilitiaWatch; KOB4,Local partner-New media,"On 24 April 2020, a group of people gathered at Civic Plaza in Albuquerque (New Mexico) to protest against the state's coronavirus restrictions and in support of re-opening the economy. The event was organized by Operation Gridlock - New Mexico. It was organized on Facebook by a GOP congressional candidate, Brett Kokinadis. Armed members of the New Mexico Civil Guard were present at the event to provide security assistance.",0,armed; armed presence; crowd size=no report,1680633602
USA20737,24-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Labor Group (United States),6,Protesters (United States),,6,66,,840,North America,United States,Wisconsin,Dane,,Madison,43.075,-89.384,1,WISN12; Crowd Counting Consortium,Other-Subnational,"On 24 April 2020, an estimated 1500 protesters attended the 'Rally to Reopen Wisconsin' outside of the Capitol building in Madison (Wisconsin) to express their opposition to the state's 'Safer at Home' order to prevent the spread of the coronavirus, arguing that the order is a threat to their financial stability and civil liberties despite having their permit to hold a demonstration denied. Also present were an unknown number of counter-protesters. Some protesters came to the event armed.",0,armed; counter-demonstration; crowd size=1500,1680633666
USA20804,26-April-2020,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (United States),,6,Police Forces of the United States (2017-2021),,1,16,,840,North America,United States,Colorado,Denver,,Denver,39.739,-104.991,1,Fox31; CBS4 (Denver),Subnational,"On 26 April 2020, dozens of people protested in front of the state capitol building in Denver (Colorado) against coronavirus restrictions. Police arrested one demonstrator for openly carrying a handgun, which is illegal in Denver.",0,armed; crowd size=dozens,1680633585
USA20843,28-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Michigan,Ingham,,Lansing,42.734,-84.555,1,ABC News; Crowd Counting Consortium,Other-National,"On 28 April 2020, hundreds of people protested in the Michigan State Capitol building in Lansing (Michigan) to demand that the state legislature not extend the stay-at-home order put in place by Governor Gretchen Whitmer to slow the spread of the coronavirus. Inside, state legislators were meeting to discuss an extension of the state of emergency. Several individuals attended the protest with firearms. .",0,armed; crowd size=hundreds,1680633585
USA20864,30-April-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unidentified Communal Militia (United States); Michigan Liberty Militia; White Nationalists (United States); Michigan Wolverine Watchmen,6,,,0,60,,840,North America,United States,Michigan,Ingham,,Lansing,42.734,-84.555,1,Detroit News; Crowd Counting Consortium; Fox News; Guardian; MilitiaWatch; Reuters,Local partner-New media,"On 30 April 2020, hundreds of protesters attended the 'American Patriot Rally' organized by the group Michigan United for Liberty at the State Capitol building in Lansing (Michigan) to protest the extension of the state's stay-at-home orders intended to prevent the spread of the coronavirus. Inside, state lawmakers debated the Governor's request to extend emergency powers to combat the coronavirus while the protesters forced their way into the Capitol and chanted 'Let us in!' to urge lawmakers to end the state of emergency. Some of the attendees were armed and members of local militias and the Michigan Liberty Militia as well as the Michigan Wolverine Watchmen were actively involved in the demonstration. Few wore masks or practiced social distancing. There were many signs with swastikas, confederate flags, and nooses with one of the signs read 'Tyrants get the rope.'",0,armed; crowd size=hundreds,1680633671
USA18105,01-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Colorado,Denver,,Denver,39.739,-104.991,1,Count Love; Colorado Times Recorder; Denver7; CBS4 (Denver),Other-Subnational,"On 1 May 2020, approximately 250 people attended a protest at the state capitol building in Denver (Colorado) to demand that the state reopen from the coronavirus lockdown orders, citing harm to businesses. At least one counter protester was present and a number of demonstrators were armed with long guns.",0,armed; crowd size=approximately 250,1680633585
USA18177,01-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Blue Igloo,6,,,0,60,,840,North America,United States,North Carolina,Wake,,Raleigh,35.781,-78.639,1,Twitter; CBS17,New media-Subnational,"On 1 May 2020, armed demonstrators from the Blue Igloo group, a reference to the Boogaloo movement, marched in Raleigh (North Carolina) against the stay-at-home order and to support local business reopening, closed due to the coronavirus pandemic restrictive measures.",0,armed; crowd size=no report,1680633585
USA18178,01-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Virginia,Richmond,,Richmond,37.539,-77.434,1,WHSV-TV3,Subnational,"On 1 May 2020, a group of armed protesters demonstrated near Virginia Capitol in Richmond (Virginia) against the stay-at-home measures adopted during the coronavirus pandemic and to pressure the governor to reopen the state. The group did not engage in violent actions and considered the event as 'a small show of force' to spread its message of discontent. Police reportedly attempted to get the protesters to disperse but did not intervene physically. The protesters remained at the site and continued their protest.",0,armed; crowd size=no report,1680633666
USA18234,02-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Boogaloo Boys; Unidentified Communal Militia (United States),6,,,0,60,,840,North America,United States,New Hampshire,Merrimack,,Concord,43.208,-71.538,1,Connecticut Post; NBC10 Boston,National,"On 2 May 2020, hundreds of protesters in Concord (New Hampshire) protested restrictions on movement and businesses prompted by the coronavirus pandemic. Several militia groups including members of Boogaloo Boys, wearing camouflage, with their faces covered and carrying weapons showed up and participated in the demonstration.",0,armed; crowd size=hundreds,1680633585
USA18224,02-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Ohio,Franklin,,Bexley,39.969,-82.938,1,News 5 (Cleveland),Subnational,"On 2 May 2020, 15 to 20 protesters demonstrated outside of the house of Ohio Department of Health Director Amy Acton in Bexley (Ohio) over their disapproval of the Stay Safe Ohio order during the coronavirus pandemic. Several individuals were reportedly seen carrying assault weapons. .",0,armed; crowd size=15 to 20,1680633586
USA18238,02-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Kentucky,Franklin,,Frankfort,38.201,-84.874,1,WKYT,Subnational,"On 2 May 2020, hundreds of protesters protested in Frankfort (Kentucky) demanding the state to reopen amid the coronavirus pandemic. A number of the protesters were armed.",0,armed; crowd size=hundreds,1680633586
USA18316,04-May-2020,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (United States),Open Texas,6,Police Forces of the United States (2017-2021),,1,16,,840,North America,United States,Texas,Ector,,Odessa,31.846,-102.368,1,ABC7 (El Paso),Subnational,"On 4 May 2020, more than 20 people from the Open Texas armed group and a local bar owner demonstrated in Odessa (Texas) in support of the owner's decision to open his bar in contravention of existing coronavirus regulations. The bar owner and 6 other people were arrested for carrying weapons on a licensed property.",0,armed; crowd size=more than 20 people,1680633585
USA18433,09-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Blue Igloo,6,,,0,60,,840,North America,United States,North Carolina,Wake,,Raleigh,35.781,-78.639,1,NBC Local 33; News & Observer; CBS17,Subnational-National,"On 9 May 2020, about 11 people with Blue Igloo, a right-wing anti-government group whose name is derived from the Boogaloo movement, staged a demonstration in Raleigh (North Carolina) against coronavirus restrictions. The demonstrators carried heavy weapons including what appeared to be a shoulder-mounted anti-tank weapon, a 50-calibre mounted machine gun, and various long guns.",0,armed; crowd size=about 11,1680633585
USA18416,09-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Nevada,Clark,,Las Vegas,36.175,-115.137,1,Las Vegas Review-Journal,Subnational,"On 9 May 2020, at least 60 people in Las Vegas (Nevada) gathered in front of the city's City Hall to protest against the state's lockdown measures amid the coronavirus, demanding the lifting of restrictions. Some demonstrators carried long guns.",0,armed; crowd size=at least 60,1680633586
USA18471,10-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Massachusetts,Worcester,,Worcester,42.263,-71.802,1,MilitiaWatch; Times Union (Albany); NBC10 Boston,Local partner-New media,"On 10 May 2020, people gathered outside of Adams Square Baptist Church in Worcester (Massachusetts) supporting Pastor Casey holding in-person services on Sundays and Wednesdays amid the coronavirus pandemic. The New England Minutemen militia group 'stood guard' at the church during the demonstration.",0,armed; armed presence; crowd size=no report,1680633602
USA18539,14-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Michigan Liberty Militia; Unidentified Communal Militia (United States),6,,,0,60,,840,North America,United States,Michigan,Ingham,,Lansing,42.734,-84.555,1,Detroit Free Press; MLive; State News; MilitiaWatch,Local partner-New media,"On 14 May 2020, an estimated 250 people attended the 'Judgement Day' demonstration organized by Michigan United for Liberty at the Michigan State Capitol in Lansing (Michigan) in protest of the governor's stay-at-home order amid the coronavirus pandemic. A scuffle broke out between two protesters after one of them brought a doll of the governor hanging from a noose. Speakers condemned the display and called the police who then escorted the individual away from the protest. No arrests were made. Armed members of the Michigan Liberty Militia and members of unidentified militia group also participated.",0,armed; crowd size=an estimated 250,1680633666
USA18565,15-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Former Military Forces of the United States (2017-2021); Government of the United States (2017-2021); GOP: Republican Party,6,,,0,60,,840,North America,United States,Pennsylvania,Dauphin,,Harrisburg,40.273,-76.888,1,KDKA2; Patriot-News; WICU; ABC27 (Harrisburg),Subnational,"On 15 May 2020, about 2000 people protested outside the Pennsylvania Capitol in Harrisburg (Pennsylvania) against restrictive measures amid the coronavirus pandemic. The protest was organized by the groups ReOpen PA and Pennsylvanians Against Excessive Quarantine and is the second such demonstration since March. A former Marine Lt. Col. in full uniform spoke at the demonstration in addition to state representative Diamond (R). Some of the participants asked for the governor's impeachment while many made statements in support of President Trump. Some demonstrators were armed.",0,armed; crowd size=about 2000,1680633592
USA18624,16-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Blue Igloo,6,Protesters (United States),Refuse Fascism,6,66,,840,North America,United States,North Carolina,Wake,,Raleigh,35.781,-78.639,1,WRAL-TV5; Charlotte Observer,Subnational,"On 16 May 2020, armed demonstrators walked in downtown Raleigh (North Carolina) in a 'Walk the Iron' demonstration, a week after armed protesters also marched in Raleigh. The group, organized under the name 'Blue Igloo' linked to Boogaloo group, protested their second amendment rights and did not engage in violent activities. A counter-demonstration happened, organized by Refuse Fascism, with people carrying signs 'Walk the Iron home' and 'Raleigh will not be intimidated.' Police warned the counter-demonstrators to keep distance.",0,armed; counter-demonstration; crowd size=no report,1680633688
USA18665,18-May-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Police Forces of the United States (2017-2021); Unidentified Communal Militia (United States),6,Protesters (United States),,6,66,,840,North America,United States,Michigan,Kent,,Grand Rapids,42.963,-85.668,1,Count Love; Detroit News; Channel 5 (Twin Cities); Fox17 (Grand Rapids),Other-Subnational,"On 18 May 2020, hundreds including local county Sheriffs participated in the 'American Patriot Rally - Sheriffs Speak Out' rally at Rosa Parks Circle in downtown Grand Rapids (Michigan) to protest the governor's stay-at-home orders to slow the spread of the coronavirus. Organizers urged participants to show up with weapons and some participants were observed with weapons and militia flags on the day of the event. The Michigan Liberty Militia of Barry County was hired to provide security along with other militia groups. Counter-protesters were also present and set up a memorial near Rosa Parks Circle to honor the coronavirus victims from Kent County.",0,armed; armed presence; counter-demonstration; crowd size=hundreds,1680633666
